symbol,Date,close,high,low,open,volume
DATA,2014-09-22,72.07,73.93,71.23,72.91,1123796
DATA,2014-09-23,70.91,71.89,69.62,71.44,1494477
DATA,2014-09-24,73.02,73.35,71.093,71.68,968940
DATA,2014-09-25,70.98,73.73,70.5,72.92,1045606
DATA,2014-09-26,71.76,72.13,70.87,71.23,937286
DATA,2014-09-29,73.01,73.75,69.23,70.44,1172544
DATA,2014-09-30,72.65,73.68,71.52,73.46,709969
DATA,2014-10-01,68.03,72.17,67.15,72.17,1628946
DATA,2014-10-02,69.35,69.62,65.8,68.44,1428613
DATA,2014-10-03,70.22,71.98,69.69,70.06,963731
DATA,2014-10-06,71.15,76.06,70.905,72.55,1957167
DATA,2014-10-07,71.24,73.43,69.93,70.18,1261799
DATA,2014-10-08,72.46,72.98,68.33,70.74,1453000
DATA,2014-10-09,72.66,75.64,71.61,72.18,1706990
DATA,2014-10-10,67.62,73.05,67.58,71.64,1740403
DATA,2014-10-13,64.74,68.69,62.15,68.32,2420364
DATA,2014-10-14,65.99,67.74,64.3,65.64,1382163
DATA,2014-10-15,66.38,67.13,62.75,64.43,1812792
DATA,2014-10-16,68.03,69.39,65.11,65.19,1666830
DATA,2014-10-17,70.54,72.75,68.68,69.01,2078447
DATA,2014-10-20,71.56,73.88,70.01,70.16,1638857
DATA,2014-10-21,75.5,75.99,71.74,71.74,1363654
DATA,2014-10-22,72.76,75.37,72.16,75,1210233
DATA,2014-10-23,75.06,77.42,72.95,73.41,1543918
DATA,2014-10-24,77.9,78.55,75.51,75.6,1212380
DATA,2014-10-27,77.71,78.54,76.7,77.87,761483
DATA,2014-10-28,81.19,81.92,77.7,78.34,1536400
DATA,2014-10-29,79.76,81,78.37,81,956909
DATA,2014-10-30,82.59,84.5,80.93,83.68,1034758
DATA,2014-10-31,82.59,83.99,81.45,81.65,1306801
DATA,2014-11-03,81.3,82.62,80.13,82.13,1426660
DATA,2014-11-04,80.49,81.33,78.79,81.07,749693
DATA,2014-11-05,76.5,80.89,76.27,80.87,2165373
DATA,2014-11-06,84.29,88.5,83.11,85.49,4166827
DATA,2014-11-07,84.92,85.53,82.51,84.32,1186718
DATA,2014-11-10,83.55,84.45,81.77,83.62,1541657
DATA,2014-11-11,84.05,84.5,82.64,83.54,869524
DATA,2014-11-12,83.45,84,82.41,83.97,884882
DATA,2014-11-13,82.59,84.5,80.93,83.68,1124548
DATA,2014-11-14,84.83,85,81.29,82.27,782532
DATA,2014-11-17,83.31,86.85,82.75,84.11,947833
DATA,2014-11-18,82.1,84.9899,82,83.58,845074
DATA,2014-11-19,80.23,82.43,78.77,82.1,1604316
DATA,2014-11-20,80.52,81.2,78.55,80,735562
DATA,2014-11-21,81.75,82.86,81.26,81.26,1047071
DATA,2014-11-24,83.05,83.68,81.33,81.71,667666
DATA,2014-11-25,82.13,83.4499,81.28,83,1021494
DATA,2014-11-26,83.86,84.35,81.8601,82,673436
DATA,2014-11-28,83.88,84.48,83.1,83.62,382359
DATA,2014-12-01,81.81,83.6,80.99,83.3,700503
DATA,2014-12-02,82.8,84,82.18,83.19,839042
DATA,2014-12-03,81.27,81.7595,80.1,81.75,886375
DATA,2014-12-04,81.05,82.84,80.57,81.48,638593
DATA,2014-12-05,81.79,82.21,80.79,80.97,601993
DATA,2014-12-08,80.39,82.25,79.77,81.35,844138
DATA,2014-12-09,82.2,82.315,78.11,78.76,764316
DATA,2014-12-10,81.75,85.5821,81.4,83.71,1124378
DATA,2014-12-11,83.22,86.49,82.85,82.96,870863
DATA,2014-12-12,80.59,83.79,80.56,82.77,853219
DATA,2014-12-15,81.58,82.34,79.2,80.77,815374
DATA,2014-12-16,80.32,81.78,79.39,80.37,788473
DATA,2014-12-17,85.87,86.03,80.56,80.56,1284753
DATA,2014-12-18,88.8,89.72,86.92,87.11,1164306
DATA,2014-12-19,88.06,89.95,87.48,89.12,907587
DATA,2014-12-22,87.01,88.79,86.53,88.06,658165
DATA,2014-12-23,88.72,89.86,87.28,87.5,799609
DATA,2014-12-24,88.76,89.92,88.32,88.78,175771
DATA,2014-12-26,88.9,89.75,88.39,88.91,269770
DATA,2014-12-29,86.7,88.77,86.06,88.47,531859
DATA,2014-12-30,85.68,86.92,84.54,86.61,453174
DATA,2014-12-31,84.76,86.28,84.52,85.56,410865
DATA,2015-01-02,85.98,86.39,83.81,84.84,619681
DATA,2015-01-05,84.74,86.2784,83.34,85,773016
DATA,2015-01-06,83.36,86.19,81.43,85,1014824
DATA,2015-01-07,83.4,85.6,83.08,84.43,465248
DATA,2015-01-08,86.45,87.75,83.9026,84.48,613329
DATA,2015-01-09,86.98,87.506,85.36,87.11,556103
DATA,2015-01-12,86.77,87.1936,84.92,86.72,504960
DATA,2015-01-13,85.93,88.792,83.97,87.51,517432
DATA,2015-01-14,85.51,86.6,84.141,84.5,549488
DATA,2015-01-15,81.07,86.28,80.83,86.1,959171
DATA,2015-01-16,83.19,83.415,80.03,80.98,659792
DATA,2015-01-20,82.89,84.76,81.52,83.69,394203
DATA,2015-01-21,82.46,84.82,81.97,82.81,472710
DATA,2015-01-22,83.52,84.048,81.06,82.8,642039
DATA,2015-01-23,83.13,85.27,82.64,83.07,742971
DATA,2015-01-26,84.11,84.94,82.97,83.45,533889
DATA,2015-01-27,81.3,82.92,80.67,82.4,650972
DATA,2015-01-28,78.37,82.5,78.2099,82.4,770401
DATA,2015-01-29,80.5,80.86,76.01,78.54,820470
DATA,2015-01-30,80.76,81.83,79.51,79.71,720493
DATA,2015-02-02,82.05,82.44,79.57,81.46,820029
DATA,2015-02-03,83.01,83.21,80.54,82.85,716806
DATA,2015-02-04,84.21,84.85,82.32,83,2035262
DATA,2015-02-05,98.73,99.6,95.16,98.39,4849200
DATA,2015-02-06,97.41,98.71,95.81,98.6,1415515
DATA,2015-02-09,93.28,95.61,92,94.7,1758309
DATA,2015-02-10,95.49,96,91.63,93.89,1628979
DATA,2015-02-11,97.57,98.4,95.37,95.76,2023446
DATA,2015-02-12,98.5,98.64,96.68,97.9,1313478
DATA,2015-02-13,99.9,100,97,98.5,1439237
DATA,2015-02-17,98.45,99.206,96.521,99.11,1091752
DATA,2015-02-18,97.84,99.95,97.76,98.45,841703
DATA,2015-02-19,99.32,101,97,97.59,1952040
DATA,2015-02-20,99.28,101,99.03,99.03,989246
DATA,2015-02-23,96.85,98.99,96.08,98.65,858532
DATA,2015-02-24,96.22,97.8,95.4,96.85,640950
DATA,2015-02-25,97.27,97.9099,95.67,96.16,521690
DATA,2015-02-26,97.42,101.3,96.15,98.92,1409203
DATA,2015-02-27,94.01,98.745,93.46,97.97,1214521
DATA,2015-03-02,96.85,97.08,94.14,94.14,826665
DATA,2015-03-03,94.25,96.78,93.15,95.97,854330
DATA,2015-03-04,92.11,94.24,90.06,93.85,1192284
DATA,2015-03-05,95.5,96.2399,91.73,92.47,1100578
DATA,2015-03-06,92.34,95.84,91.91,94.45,824389
DATA,2015-03-09,92.67,93.09,90.91,92,562075
DATA,2015-03-10,92.04,93.24,91.09,91.5,531388
DATA,2015-03-11,93.16,94.83,92.02,92.11,591284
DATA,2015-03-12,94.76,95.36,92.75,93.82,696143
DATA,2015-03-13,92.66,95.14,92.21,94.2,462888
DATA,2015-03-16,94.47,94.65,91.9,93.12,476803
DATA,2015-03-17,95.02,95.855,94.07,94.28,481483
DATA,2015-03-18,97.88,99.29,94.62,94.88,1091627
